,0
1_6_542,517.0858767224695
1_6_1114,898.784246706943
1_12_759,272.1653028479743
1_17_382,324.6110520631895
1_12_539,150.22536606348638
1_17_539,414.021752803745
1_12_198,71.61821188940635
1_6_704,272.1653028479743
1_6_124,526.2407069177048
1_6_857,40.01227436823105
1_12_808,40.01227436823105
24_6_1170,910.087681440696
24_6_301,720.5598169673267
1_17_354,152.26702752169882
1_12_394,406.4603061148824
1_12_867,40.01227436823105
1_6_891,720.5598169673267
1_6_302,145.82608039218675
24_17_654,720.5598169673267
24_12_178,329.4799136324765
1_6_813,40.01227436823105
24_17_565,579.8381507477485
24_17_25,270.21405518076233
24_6_1203,720.5598169673267
24_17_230,580.5136191553704
1_12_303,149.21917912310175
1_12_1152,266.6726757157588
1_17_1096,549.5943491547811
1_17_540,578.2359139337327
1_6_994,169.13637067704582
24_6_968,519.9454038613087
1_12_564,630.512568528057
1_12_1266,318.81544484382607
24_6_822,102.69602888086641
1_17_678,562.2810855542602
24_12_100,557.2363549217463
24_17_550,184.6843522983126
1_12_691,616.9641547474861
1_17_574,562.2810855542602
1_6_201,192.8790917530533
1_12_615,696.5682967122787
24_17_657,677.2064722682769
1_6_853,562.2810855542602
24_6_182,57.66859205776173
1_17_432,497.2651646060583
1_6_992,562.2810855542602
24_17_115,461.5293387001213
24_12_134,327.59784047320505
1_6_1037,291.4926841499172
1_12_1073,506.47786335504543
24_12_355,431.1548473338189
1_12_118,440.2928183630054
1_12_934,720.5598169673267
1_17_407,381.37848367364893
