name,min_time,max_time,delta
13_10_165,170,210,40
13_10_195,200,250,50
13_10_974,975,1245,270
13_10_999,1000,1250,250
13_20_1110,1115,1140,25
13_20_1265,1270,1325,55
13_20_401,405,430,25
13_20_759,760,785,25
13_20_764,765,790,25
13_20_777,780,855,75
13_2_1157,1160,1405,245
13_2_1314,1315,2100,785
13_2_1320,1325,1535,210
13_2_547,550,625,75
13_2_736,740,825,85
13_2_93,95,160,65
13_2_95,100,170,70
13_2_954,955,1075,120
1_10_1078,1080,1510,430
1_10_1160,1165,1350,185
1_10_1237,1240,1485,245
1_10_1262,1265,1330,65
1_10_19,20,60,40
1_10_295,300,370,70
1_10_462,465,495,30
1_10_562,565,595,30
1_10_574,575,605,30
1_10_64,65,95,30
1_10_658,660,750,90
1_10_67,70,105,35
1_10_691,695,1160,465
1_10_721,725,1155,430
1_10_735,740,1170,430
1_10_855,860,1335,475
1_10_881,885,1250,365
1_10_933,935,1275,340
1_10_961,965,1355,390
1_20_1022,1025,1315,290
1_20_1073,1075,1280,205
1_20_1089,1090,1440,350
1_20_1119,1120,1500,380
1_20_139,140,210,70
1_20_169,170,255,85
1_20_18,20,80,60
1_20_197,200,280,80
1_20_298,300,395,95
1_20_389,390,500,110
1_20_470,475,555,80
1_20_493,495,575,80
1_20_812,815,1305,490
1_20_980,985,1300,315
1_20_99,100,200,100
1_2_1133,1135,1160,25
1_2_24,25,50,25
1_2_281,285,310,25
1_2_32,35,60,25
1_2_35,40,65,25
1_2_776,780,805,25
1_2_943,945,970,25
1_2_954,955,980,25
